SUBEST_ID,Year,AREAkm2.x,Agro,Developed,flow,nptn,nptp,ptn,ptp,tssx,WatershedHa,manuren_kg,manurep_kg,fertilizern_kg,fertilizerp_kg,AREAkm2.y,DEPTHMNm,TIDERNGm,VOLUMm3,TidalPrism,Vol.km3,P,VoFlom3,FP,nptn.adj,nptp.adj,ptn.adj,ptp.adj,tssx.adj,manuren_kg.adj,manurep_kg.adj,fertilizern_kg.adj,fertilizerp_kg.adj,nptn.y1,nptp.y1,ptn.y1,ptp.y1,tssx.y1,manuren_kg.y1,manurep_kg.y1,fertilizern_kg.y1,fertilizerp_kg.y1,Developed.y1,Agro.y1,flow.y1
CB503,1991,30.94,18.702882550000002,7.954965829,121.4836978,20146.60844,427.405575,8311.775943,500.4167445,29964.55285,19624.59467,10822.26533,3100.869645,262979.3899,84554.80551,30.94,2.73,0.38,84466200,11757200,0.0844662,22719227.053140096,84466321.4836978,22719348.5368379,0.10772687814756034,0.00228540046503296,0.044444288321185264,0.0026758019255845693,0.16022487076331354,0.05786824427335109,0.016580806014731067,1.4061894723098642,0.45212697993779216,1.054494150746834,0.04874158459034758,0.13482470738710411,0.008579421038409014,10.476511117169796,0.18501280701188663,0.05889584100446558,4.084778862919628,1.246358833639932,7.335998676,18.75170856,387.571633
CB503,1992,30.94,18.67568643,8.697174692,194.6344664,31237.72044,991.8335134,8658.927464,488.8776272,59919.91239,19624.59467,10810.06667,2749.239652,321170.9632,95276.95032,30.94,2.73,0.38,84466200,11757200,0.0844662,22719227.053140096,84466394.6344664,22719421.687606495,0.26760967479680153,0.008496914635091826,0.0741799571188599,0.004188153968587855,0.5133264541290816,0.09260849976703496,0.02355239495222885,2.751431788411495,0.8162258107066347,0.10772687814756034,0.00228540046503296,0.044444288321185264,0.0026758019255845693,0.16022487076331354,0.05786824427335109,0.016580806014731067,1.4061894723098642,0.45212697993779216,7.954965829,18.702882550000002,121.4836978
CB503,1993,30.94,18.67275423,9.568150716,294.0173191,50085.2609,1699.986853,9136.284614,493.1788349,234118.4015,19624.59467,10797.868,2731.216209,302967.4373,93367.99552,30.94,2.73,0.38,84466200,11757200,0.0844662,22719227.053140096,84466494.0173191,22719521.0704592,0.6481621725463784,0.021999828934519152,0.11823426648881229,0.006382314064828514,3.0297674210443275,0.1397371094007622,0.03534514944933278,3.9207549055849413,1.2082916557702053,0.26760967479680153,0.008496914635091826,0.0741799571188599,0.004188153968587855,0.5133264541290816,0.09260849976703496,0.02355239495222885,2.751431788411495,0.8162258107066347,8.697174692,18.67568643,194.6344664
CB503,1994,30.94,18.69206237,10.54871017,223.8942451,37800.09897,881.8285761,9622.208661,497.1310329,48706.09072,19624.59467,9296.45442,2713.191544,296039.1219,85835.43088,30.94,2.73,0.38,84466200,11757200,0.0844662,22719227.053140096,84466423.8942451,22719450.947385196,0.37251008588160794,0.00869018990867121,0.09482434893952506,0.0048990962671014255,0.4799857812929051,0.09161412612006856,0.02673779282617292,2.9173880949572766,0.8458857145895357,0.6481621725463784,0.021999828934519152,0.11823426648881229,0.006382314064828514,3.0297674210443275,0.1397371094007622,0.03534514944933278,3.9207549055849413,1.2082916557702053,9.568150716,18.67275423,294.0173191
CB503,1995,30.94,18.7304229,11.61349204,222.8471876,45917.95232,1687.132888,10080.57579,496.2953813,302428.9136,19624.59467,9284.255756,2695.168303,292301.9437,86679.28935,30.94,2.73,0.38,84466200,11757200,0.0844662,22719227.053140096,84466422.8471876,22719449.900327697,0.45039323486064253,0.01654850011103671,0.0988768642746824,0.004867988900557817,2.9664200999739574,0.0910660378336832,0.026435969139532365,2.8670881719992263,0.850207022597652,0.37251008588160794,0.00869018990867121,0.09482434893952506,0.0048990962671014255,0.4799857812929051,0.09161412612006856,0.02673779282617292,2.9173880949572766,0.8458857145895357,10.54871017,18.69206237,223.8942451
CB503,1996,30.94,18.78464784,12.73713529,337.9490449,67199.59379,2418.217931,10502.66218,489.3630046,345789.3113,19624.59467,9283.122844,2677.144388,317208.6918,87773.96637,30.94,2.73,0.38,84466200,11757200,0.0844662,22719227.053140096,84466537.9490449,22719565.002184995,0.9995806934161984,0.03597051440302263,0.1562250268566762,0.007279178100375573,5.143547751870476,0.1380846199527789,0.03982199434262867,4.71841667820131,1.3056204244655847,0.45039323486064253,0.01654850011103671,0.0988768642746824,0.004867988900557817,2.9664200999739574,0.0910660378336832,0.026435969139532365,2.8670881719992263,0.850207022597652,11.61349204,18.7304229,222.8471876
CB503,1997,30.94,18.85154923,13.89427891,182.7262583,39437.25784,1453.593223,11017.86961,493.6903589,239670.7408,19624.59467,9270.92418,2659.119608,313997.8667,90014.83283,30.94,2.73,0.38,84466200,11757200,0.0844662,22719227.053140096,84466382.7262583,22719409.779398397,0.3171835286517887,0.011690869318703789,0.08861383758737287,0.00397062216477042,1.9276089526799673,0.07456361335277846,0.02138660207549058,2.5254025458135145,0.7239657083627566,0.9995806934161984,0.03597051440302263,0.1562250268566762,0.007279178100375573,5.143547751870476,0.1380846199527789,0.03982199434262867,4.71841667820131,1.3056204244655847,12.73713529,18.78464784,337.9490449
CB503,1998,30.94,18.92793909,15.05956188,271.856197,58958.08455,2494.879203,11412.65803,480.4377286,654737.833,19624.59467,9270.92418,2602.603564,320867.7121,88001.72794,30.94,2.73,0.38,84466200,11757200,0.0844662,22719227.053140096,84466471.856197,22719498.909337096,0.7054786160613928,0.029853139578850014,0.13656119010715626,0.005748805214134234,7.834439395943288,0.11093370502173992,0.03114214402488027,3.839427810432376,1.0530080431203968,0.3171835286517887,0.011690869318703789,0.08861383758737287,0.00397062216477042,1.9276089526799673,0.07456361335277846,0.02138660207549058,2.5254025458135145,0.7239657083627566,13.89427891,18.85154923,182.7262583
CB503,1999,30.94,19.01062946,16.20762316,57.85130821,16511.76612,332.9444721,11886.32023,476.8172323,47788.31494,19624.59467,9281.989933,2546.087567,367299.2139,92431.74029,30.94,2.73,0.38,84466200,11757200,0.0844662,22719227.053140096,84466257.85130821,22719284.904448308,0.04204477715372669,8.477939932212213e-4,0.030266761387980665,0.0012141447577087067,0.1216858958394941,0.023635218391533246,0.006483236474547955,0.93527327633711,0.23536379416838485,0.7054786160613928,0.029853139578850014,0.13656119010715626,0.005748805214134234,7.834439395943288,0.11093370502173992,0.03114214402488027,3.839427810432376,1.0530080431203968,15.05956188,18.92793909,271.856197
CB503,2000,30.94,19.09643237,17.31310174,209.6862795,43338.56869,872.7784639,12311.48914,465.2145744,38417.68814,19624.59467,7768.377687,2489.571492,326833.2662,85005.81379,30.94,2.73,0.38,84466200,11757200,0.0844662,22719227.053140096,84466409.6862795,22719436.739419598,0.3999880512747889,0.008055202733322312,0.11362739237245739,0.004293641360653027,0.35457138244500636,0.07169729749996694,0.02297719744085874,3.0164678989335663,0.7845508246499886,0.04204477715372669,8.477939932212213e-4,0.030266761387980665,0.0012141447577087067,0.1216858958394941,0.023635218391533246,0.006483236474547955,0.93527327633711,0.23536379416838485,16.20762316,19.01062946,57.85130821
CB503,2001,30.94,19.18215986,18.35063659,210.81605389999999,46598.88374,1463.597643,12792.83017,459.9705943,277737.9977,19624.59467,7768.377687,2433.055497,274799.7041,71853.54771,30.94,2.73,0.38,84466200,11757200,0.0844662,22719227.053140096,84466410.8160539,22719437.869193997,0.43239594407096066,0.01358087648871689,0.11870601685568653,0.004268115529911389,2.577160096579382,0.07208359373181308,0.022576577895562167,2.549895361178884,0.6667366276468077,0.3999880512747889,0.008055202733322312,0.11362739237245739,0.004293641360653027,0.35457138244500636,0.07169729749996694,0.02297719744085874,3.0164678989335663,0.7845508246499886,17.31310174,19.09643237,209.6862795
CB503,2002,30.94,19.26462396,19.29486669,109.8821114,28460.02388,563.6144076,13692.66714,738.0061386,41492.61381,19624.59467,7779.44344,2376.539163,304322.8986,80394.37305,30.94,2.73,0.38,84466200,11757200,0.0844662,22719227.053140096,84466309.8821114,22719336.935251497,0.1376469534890589,0.002725922032806133,0.06622460771318034,0.003569367933872378,0.20067909666295586,0.03762529131639099,0.011494135669516096,1.4718582122725115,0.38882752082903027,0.43239594407096066,0.01358087648871689,0.11870601685568653,0.004268115529911389,2.577160096579382,0.07208359373181308,0.022576577895562167,2.549895361178884,0.6667366276468077,18.35063659,19.18215986,210.81605389999999
CB503,2004,30.94,19.40887313,20.81185224,430.2917508,100294.5116,4581.389936,11136.48308,483.1472588,1823100.983,19624.59467,7769.510599,2220.451828,268096.7754,66469.62666,30.94,2.73,0.38,84466200,11757200,0.0844662,22719227.053140096,84466630.2917508,22719657.344890896,1.899496120776647,0.08676778292619124,0.21091589232640287,0.009150414406668994,34.52804335698656,0.14714818396038276,0.042053543771954666,5.077533922255302,1.258880431001989,0.1376469534890589,0.002725922032806133,0.06622460771318034,0.003569367933872378,0.20067909666295586,0.03762529131639099,0.011494135669516096,1.4718582122725115,0.38882752082903027,19.29486669,19.26462396,109.8821114
CB503,2005,30.94,19.46684395,21.34747568,272.9295929,58999.89381,1608.918386,16752.70965,543.5132143,306664.4904,19624.59467,7781.709263,2142.408611,230313.7802,58414.50215,30.94,2.73,0.38,84466200,11757200,0.0844662,22719227.053140096,84466472.929592907,22719499.982732996,0.7087663465720988,0.01932795353920821,0.2012504777051165,0.006529229975457632,3.6839637573612527,0.09348175544492171,0.02573677723849915,2.7667618705085837,0.7017340303867831,1.899496120776647,0.08676778292619124,0.21091589232640287,0.009150414406668994,34.52804335698656,0.14714818396038276,0.042053543771954666,5.077533922255302,1.258880431001989,20.81185224,19.40887313,430.2917508
CB503,2006,30.94,19.51299135,21.71058854,223.4637753,49146.81595,1453.120939,1505.80046,228.5032135,286924.7222,19624.59467,7770.643511,2064.363743,233997.8928,57540.78134,30.94,2.73,0.38,84466200,11757200,0.0844662,22719227.053140096,84466423.4637753,22719450.516915396,0.4833978281290029,0.014292594389756746,0.014810739167725342,0.0022475099351049184,2.822131706133397,0.07643042837614653,0.02030465108563069,2.301554454338629,0.5659591204626525,0.7087663465720988,0.01932795353920821,0.2012504777051165,0.006529229975457632,3.6839637573612527,0.09348175544492171,0.02573677723849915,2.7667618705085837,0.7017340303867831,21.34747568,19.46684395,272.9295929
CB503,2007,30.94,19.54552463,21.88324256,124.377689,29685.51794,630.0201733,11139.37514,696.1964423,104848.9554,19624.59467,6270.3628419999995,1986.320468,371470.5093,78667.52595,30.94,2.73,0.38,84466200,11757200,0.0844662,22719227.053140096,84466324.377689,22719351.430829097,0.16251415140024977,0.003449062065746386,0.060982803185887016,0.0038113457968608866,0.5739983734315681,0.03432726686119893,0.010874163823532295,2.033625106731356,0.4306674469470744,0.4833978281290029,0.014292594389756746,0.014810739167725342,0.0022475099351049184,2.822131706133397,0.07643042837614653,0.02030465108563069,2.301554454338629,0.5659591204626525,21.71058854,19.51299135,223.4637753
CB503,2008,30.94,19.56265311,21.84748946,331.3392769,72936.97145,3370.995349,7224.273758,531.4521102,1623746.498,19624.59467,7760.71067,2046.188077,358417.7266,62073.20335,30.94,2.73,0.38,84466200,11757200,0.0844662,22719227.053140096,84466531.3392769,22719558.392416995,1.0637039225016371,0.04916218625726987,0.10535793001602951,0.007750632950657184,23.68052147949305,0.11318126070998673,0.02984135809879424,5.227120541190764,0.9052680495638644,0.16251415140024977,0.003449062065746386,0.060982803185887016,0.0038113457968608866,0.5739983734315681,0.03432726686119893,0.010874163823532295,2.033625106731356,0.4306674469470744,21.88324256,19.54552463,124.377689
