SUBEST_ID	Year	AREAkm2.x	Agro	Developed	flow	nptn	nptp	ptn	ptp	tssx	WatershedHa	manuren_kg	manurep_kg	fertilizern_kg	fertilizerp_kg	AREAkm2.y	DEPTHMNm	TIDERNGm	VOLUMm3	TidalPrism	Vol.km3	P	VoFlom3	FP	nptn.adj	nptp.adj	ptn.adj	ptp.adj	tssx.adj	manuren_kg.adj	manurep_kg.adj	fertilizern_kg.adj	fertilizerp_kg.adj	nptn.y1	nptp.y1	ptn.y1	ptp.y1	tssx.y1	manuren_kg.y1	manurep_kg.y1	fertilizern_kg.y1	fertilizerp_kg.y1	Developed.y1	Agro.y1	flow.y1	dens.weight.mean	SAVArea	dens.weight.mean.y1	SAVArea.y1	dens.change	SAVArea.change	dens.prop.change	SAVArea.prop.change	denscomp.max	dens.percomp	dens.percomp.y1	dens.percomp.change	SAVArea.percomp	SAVArea.percomp.y1	SAVArea.percomp.change
EAS03	1997	26.26	58.4164567	5.12315652	225.6371089	114866.8754	4622.584157	3765.157562	190.0779985	885241.4013	20765.91948	402295.9758	114036.853	1279058.687	272561.8606	26.26	2.81	0.43	73790600	11291800	0.0737906	21819903.381642513	73790825.6371089	21820129.018751413	1.187812851672846	0.04780111629661242	0.038934658274136356	0.001965554374595201	9.1540847579895	4.1600533536538435	1.1792297743456084	13.226461860060276	2.8185016765637787	6.543087978725115	0.19184545543690198	0.09513926531181403	0.004702998557838874	15.681574685959966	9.752240015643025	2.749467997070125	31.048571632575513	6.351598993333382	5.108977817	58.63664032	551.6377308	47.9407491285	91.24119971	25.714345182500004	58.804727150000005	22.226403945999998	32.43647256	0.8643581544952683	0.5515963449207161	128.4926702765	0.3731010416807244	0.2001230508103379	0.17297799087038648	0.3019360017514615	0.19459700503927774	0.10733899671218376
EAS03	1998	26.26	58.18601261	5.139585959	319.7229092	148111.6405	5627.939185	3824.257856	204.7652128	858544.5639	20765.91948	396419.9095	111806.8521	1082998.02	223251.8314	26.26	2.81	0.43	73790600	11291800	0.0737906	21819903.381642513	73790919.7229092	21820223.104551714	2.1702200000496936	0.08246391800886421	0.056035304560942745	0.0030003418950247294	12.579906462583013	5.80858069703704	1.6382606103807085	15.868732228499068	3.2712188448955986	1.187812851672846	0.04780111629661242	0.038934658274136356	0.001965554374595201	9.1540847579895	4.1600533536538435	1.1792297743456084	13.226461860060276	2.8185016765637787	5.12315652	58.4164567	225.6371089	3.730137167	11.795268	47.9407491285	91.24119971	-44.2106119615	-79.44593171	-0.9221927643015805	-0.8707243214963202	128.4926702765	0.02902996068937797	0.3731010416807244	-0.34407108099134637	0.039032981491108426	0.3019360017514615	-0.26290302026035306
EAS03	1999	26.26	57.95179774	5.158413329	179.5873537	84282.36827	2296.483994	3797.937784	200.7744677	383496.9125	20765.91948	387716.0545	109576.8517	927319.5035	174164.816	26.26	2.81	0.43	73790600	11291800	0.0737906	21819903.381642513	73790779.5873537	21820082.968996212	0.6936750654287017	0.01890091269968435	0.03125843275275039	0.0016524481321176128	3.1563214386422525	3.1910465378887194	0.9018580200424243	7.632182512989957	1.4334408561841636	2.1702200000496936	0.08246391800886421	0.056035304560942745	0.0030003418950247294	12.579906462583013	5.80858069703704	1.6382606103807085	15.868732228499068	3.2712188448955986	5.139585959	58.18601261	319.7229092	34.105590697500006	74.53611863	3.730137167	11.795268	30.375453530500007	62.740850630000004	8.143253765364818	5.319154310864323	128.4926702765	0.2654282973815478	0.02902996068937797	0.2363983366921698	0.24665543325542516	0.039032981491108426	0.20762245176431673
EAS03	2000	26.26	57.72030181	5.179785826	429.4091449	180560.5399	3607.216261	3847.081489	208.2305118	235781.5981	20765.91948	380970.8963	107346.851	1741207.035	307983.8107	26.26	2.81	0.43	73790600	11291800	0.0737906	21819903.381642513	73791029.4091449	21820332.790787414	3.5533072655003908	0.07098753556863092	0.07570791831596513	0.004097833285653599	4.640019718948698	7.497245270293888	2.112512212237176	34.2657571340475	6.0609096141543315	0.6936750654287017	0.01890091269968435	0.03125843275275039	0.0016524481321176128	3.1563214386422525	3.1910465378887194	0.9018580200424243	7.632182512989957	1.4334408561841636	5.158413329	57.95179774	179.5873537	0	0	34.105590697500006	74.53611863	-34.105590697500006	-74.53611863	-1	-1	128.4926702765	0	0.2654282973815478	-0.2654282973815478	0	0.24665543325542516	-0.24665543325542516
EAS03	2002	26.26	57.29142557	5.230754988	205.4305624	86031.36145	2018.188053	3813.793027	195.3659905	263513.5114	20765.91948	363563.2307	102886.8493	1084909.935	188153.6322	26.26	2.81	0.43	73790600	11291800	0.0737906	21819903.381642513	73790805.4305624	21820108.812204912	0.8099625496287927	0.019000707573229383	0.03590585423550137	0.0018393192099848436	2.480910123446384	3.422851810385398	0.9686525166840932	10.214140544328302	1.771416761167972	2.132695738612513	0.07721388882061232	0.05778084055201964	0.003114603025093431	12.370815859908628	5.609393146617586	1.5839212666011708	16.461976387908045	2.758243427198002	5.203850647	57.49801452	328.7915288	5.496413444000001	21.07742906	15.772767928999999	37.63108982	-10.276354484999999	-16.55366076	-0.6515251179284627	-0.4398932063668838	128.4926702765	0.04277608545430967	0.12275227758174061	-0.07997619212743093	0.06974957231824923	0.1245290596563214	-0.05477948733807217
EAS03	2003	26.26	57.10666982	5.26069146	648.0576348	260077.4299	10941.18801	3842.662505	188.5351407	2875828	20765.91948	424684.3946	121084.7282	741432.3614	106749.2754	26.26	2.81	0.43	73790600	11291800	0.0737906	21819903.381642513	73791248.0576348	21820551.439277314	7.724147785856274	0.32494689437131624	0.11412483232859212	0.005599383576475454	85.41041215012206	12.612878508906329	3.596145715476554	22.020108145762627	3.1703911390531303	0.8099625496287927	0.019000707573229383	0.03590585423550137	0.0018393192099848436	2.480910123446384	3.422851810385398	0.9686525166840932	10.214140544328302	1.771416761167972	5.230754988	57.29142557	205.4305624	0	0	5.496413444000001	21.07742906	-5.496413444000001	-21.07742906	-1	-1	128.4926702765	0	0.04277608545430967	-0.04277608545430967	0	0.06974957231824923	-0.06974957231824923
EAS03	2012	26.26	57.16181395	5.733771544	126.5480786	34985.10495	667.3232018	267.4021638	4.895282412	121819.9996	20765.91948	488412.8152	141605.6523	750719.9397	116735.57	26.26	2.81	0.43	73790600	11291800	0.0737906	21819903.381642513	73790726.5480786	21820029.929721113	0.20290062961881716	0.0038702270008329643	0.0015508333467627365	2.8390821893381855e-5	0.706510803792917	2.8326131323490285	0.8212602491922295	4.353897141375603	0.6770229983806725	0.5773292236527592	0.011963123799949729	0.02896317043258501	0.0013744025241503573	2.5397182506742704	5.453997605259646	1.576551612234912	8.454640384694809	1.6934592259862058	5.658068368	56.95065445	226.2305182	0	0	10.493984002	14.324075859999999	-10.493984002	-14.324075859999999	-1	-1	128.4926702765	0	0.08166990365612506	-0.08166990365612506	0	0.0474013297468623	-0.0474013297468623
EAS03	2015	26.26	58.20749311	6.005661833	NA	NA	NA	NA	NA	NA	20765.91948	NA	NA	NA	NA	26.26	2.81	0.43	73790600	11291800	0.0737906	21819903.381642513	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.456132913449602	0.037505604792035234	0.014658860362813154	1.0334340431206912e-4	29.983283839356	NA	NA	NA	NA	5.907148582	57.78587277	339.7989941	6.9458669969999995	19.88186812	5.869196156	8.04849842	1.0766708409999994	11.8333697	0.18344434440129137	1.4702580633668063	128.4926702765	0.05405652308457261	0.045677283718754	0.008379239365818608	0.06579321388345044	0.02663414598626122	0.039159067897189224
EAS04	1986	30.17	44.51999556	13.79987342	59.32919937	23468.6401	428.9493901	4152.27934	692.1421734	76425.75566	11442.81922	102210.2735	28161.16926	392671.0143	110475.9474	30.17	2.99	0.43	90208300	12973100	0.0902083	25068792.2705314	90208359.32919937	25068851.59973077	0.0555420587136361	0.0010151731037075556	0.009826992186807541	0.0016380583224831378	0.18087301991144028	0.2418959508384043	0.0666476331742615	0.9293148831147502	0.26145790854474665	0.1394471321226309	0.0042290391978199926	0.012540209128476391	0.004876555740147611	0.3993209211129409	0.39878246595363354	0.10997398873085336	2.102912862437893	0.5458395206085563	13.29084657	44.67550462	97.80850263	7.9262016065	18.24542141	73.534765298	124.3899768	-65.6085636915	-106.14455539	-0.8922115060219608	-0.853320807034671	369.90621965500003	0.021427597551326713	0.19879299506394776	-0.17736539751262104	0.0282777646719845	0.19278647571144325	-0.16450871103945874
EAS04	1987	30.17	44.33736212	14.29863132	129.0068822	41615.20179	1307.595558	2871.081	478.5606757	105652.4642	11442.81922	102210.2735	28135.36287	358897.9064	113779.5685	30.17	2.99	0.43	90208300	12973100	0.0902083	25068792.2705314	90208429.0068822	25068921.2774136	0.21415550256997942	0.006729002187586477	0.014774836310462574	0.0024627154887277175	0.5436969087086039	0.5259830914593181	0.14478706136807581	1.8469203130206768	0.5855197049691608	0.0555420587136361	0.0010151731037075556	0.009826992186807541	0.0016380583224831378	0.18087301991144028	0.2418959508384043	0.0666476331742615	0.9293148831147502	0.26145790854474665	13.79987342	44.51999556	59.32919937	109.130881835	205.09073218	7.9262016065	18.24542141	101.2046802285	186.84531077	12.76837068407465	10.240668416000155	369.90621965500003	0.2950231059558365	0.021427597551326713	0.27359550840450975	0.31786097622346116	0.0282777646719845	0.28958321155147665
EAS04	1989	30.17	43.91386254	15.2297639	485.7677413	133947.8951	7583.549458	1709.869287	284.9800895	615886.7746	11442.81922	94639.14221	26312.84188	349624.3036	76773.44414	30.17	2.99	0.43	90208300	12973100	0.0902083	25068792.2705314	90208785.7677413	25069278.0382727	2.595510184029997	0.14694654092652604	0.03313216041547643	0.0055220630678132245	11.934046402821654	1.8338239449790217	0.5098642947642035	6.774674883100836	1.4876400706383934	0.21415550256997942	0.006729002187586477	0.014774836310462574	0.0024627154887277175	0.5436969087086039	0.5259830914593181	0.14478706136807581	1.8469203130206768	0.5855197049691608	14.29863132	44.33736212	129.0068822	23.4340605025	93.73624201	109.130881835	205.09073218	-85.6968213325	-111.35449017	-0.785266460707877	-0.5429523264477333	369.90621965500003	0.06335135571485177	0.2950231059558365	-0.23167175024098471	0.14527761969598527	0.31786097622346116	-0.1725833565274759
EAS04	1990	30.17	43.68456661	15.64435038	343.1933135	100754.7549	8395.985259	2664.09072	444.0143468	1180697.066	11442.81922	90853.57652	25401.58088	338431.8856	92242.59877	30.17	2.99	0.43	90208300	12973100	0.0902083	25068792.2705314	90208643.1933135	25069135.463844903	1.3793199304731032	0.11493998288409392	0.03647106710081868	0.006078500598458966	16.163594428881066	1.2437740429538693	0.3477444494612979	4.633089975544898	1.2627895829668159	2.595510184029997	0.14694654092652604	0.03313216041547643	0.0055220630678132245	11.934046402821654	1.8338239449790217	0.5098642947642035	6.774674883100836	1.4876400706383934	15.2297639	43.91386254	485.7677413	5.918616034499999	33.44190641	23.4340605025	93.73624201	-17.515444468	-60.2943356	-0.7474353181827541	-0.6432339755370997	369.90621965500003	0.016000314998812694	0.06335135571485177	-0.04735104071603907	0.051830118822369806	0.14527761969598527	-0.09344750087361547
EAS04	1993	30.17	42.99509933	16.58001546	193.0129805	68760.85911	2346.238615	2357.24581	388.7364319	89590.28035	11442.81922	90853.57652	26121.19635	502100.2823	102420.1691	30.17	2.99	0.43	90208300	12973100	0.0902083	25068792.2705314	90208493.0129805	25068985.2835119	0.5294086780325576	0.01806433339538432	0.0181490808029825	0.0029929882083940176	0.6897800943525723	0.6995065574011706	0.2011142415507026	3.8658075267352054	0.7885609201066017	0.2501332759217917	0.006381507500843443	0.011891294277278907	0.0019862653817317426	0.3399097234070866	0.44355015472289866	0.12557863495206092	3.2650552130812565	0.6719007813599839	16.3270932	43.21980803	133.5134416	24.4656196205	115.99074630999999	33.6699047875	140.45069693	-9.204285167000002	-24.45995062	-0.2733683158622149	-0.1741532876279762	369.90621965500003	0.0661400601571888	0.09102281334686091	-0.024882753189672105	0.17976888308451705	0.21767826933424367	-0.037909386249726604
