year	Temp.sumy1med	Temp.sumy1me	Temp.spmed	Temp.spme	Temp.summin	Temp.summe	Temp.summed	Temp.summax
1985	25.817948717948717	25.76525641025641	14.187179487179488	13.73	17.664102564102564	23.70349511599512	24.46666666666667	27.366666666666667
1986	24.45769230769231	23.704563492063492	13.164102564102564	12.657777777777778	15.271794871794873	23.227457264957263	24.05	28.223076923076924
1987	24.05	23.227457264957263	11.657692307692308	11.755982905982906	15.476923076923075	23.93250915750916	24.921794871794873	28.364102564102563
1989	24.274358974358975	23.71293956043956	13.424358974358974	13.010128205128206	17.035897435897436	24.097664835164835	25.578205128205127	28.04615384615385
1990	25.578205128205127	24.097664835164835	12.693589743589744	13.551282051282053	18.620512820512825	24.31918498168498	25.846153846153847	27.82307692307692
1991	25.846153846153847	24.31918498168498	14.973076923076922	14.83957264957265	18.71282051282051	25.15782051282051	26.476666666666667	28.97948717948718
1992	26.476666666666667	25.15782051282051	14.465384615384616	13.565641025641026	16.06923076923077	23.04482600732601	24.094871794871796	27.45897435897436
1993	24.094871794871796	23.04482600732601	13.262820512820513	13.792051282051284	19.14102564102564	24.7599358974359	25.956410256410255	29.512820512820515
1994	25.956410256410255	24.7599358974359	14.862820512820512	13.51957264957265	16.68974358974359	23.638598901098906	25.306410256410256	27.723076923076924
1995	25.306410256410256	23.638598901098906	14.905128205128204	14.13431623931624	16.735897435897435	24.42051282051282	25.415384615384617	29.43589743589743
1996	25.415384615384617	24.42051282051282	9.843589743589744	10.955555555555556	16.6	23.965873015873015	25.58076923076923	26.861538461538466
1997	25.58076923076923	23.965873015873015	11.765384615384615	12.242948717948718	16.31025641025641	23.50982905982906	25.59102564102564	27.407692307692308
1998	25.59102564102564	23.50982905982906	12.425897435897436	13.500769230769231	19.7874358974359	24.801355311355312	25.675384615384615	27.686153846153847
1999	25.675384615384615	24.801355311355312	12.88948717948718	12.562393162393164	18.544615384615383	25.13440170940171	27.002051282051283	28.453589743589745
2000	27.002051282051283	25.13440170940171	12.483846153846152	12.933504273504273	20.454358974358975	24.55096153846154	24.984102564102564	27.52948717948718
2001	24.984102564102564	24.55096153846154	10.797051282051282	12.56551282051282	18.262307692307697	24.550470085470085	25.48423076923077	27.444358974358973
2002	25.48423076923077	24.550470085470085	16.518461538461537	15.714871794871794	18.317179487179487	24.762410256410256	26.294102564102563	28.453333333333333
2003	26.294102564102563	24.762410256410256	11.927692307692308	11.576068376068376	16.233076923076922	24.12367094017094	26.105	27.544358974358975
2004	26.105	24.12367094017094	12.957948717948716	13.572051282051282	19.90076923076923	24.819221611721613	25.49320512820513	27.665128205128205
2005	25.49320512820513	24.819221611721613	11.655897435897437	11.109743589743587	15.637435897435898	25.32413003663004	27.215	29.216666666666665
2006	27.215	25.32413003663004	12.46974358974359	12.536068376068377	18.921794871794873	24.612113553113552	25.75846153846154	27.959230769230768
2007	25.75846153846154	24.612113553113552	11.002564102564104	12.016495726495728	17.753846153846155	24.717521367521368	25.891410256410257	28.552307692307693
2008	25.891410256410257	24.717521367521368	15.622820512820512	15.583333333333334	18.301794871794872	24.930179487179487	25.78717948717949	28.156410256410258
2009	25.78717948717949	24.930179487179487	13.49153846153846	13.14311965811966	19.722564102564103	25.284581196581197	25.934102564102563	28.237435897435898
2010	25.934102564102563	25.284581196581197	13.498717948717948	12.746324786324786	21.815128205128204	26.188076923076924	26.82551282051282	28.654358974358978
2011	26.82551282051282	26.188076923076924	13.712948717948718	14.116709401709402	18.358461538461537	25.579444444444444	26.975128205128204	28.94948717948718
2012	26.975128205128204	25.579444444444444	16.48628205128205	16.809786324786323	21.31205128205128	25.758171550671552	26.18076923076923	28.88230769230769
2013	26.18076923076923	25.758171550671552	15.62628205128205	15.112692307692308	18.96846153846154	24.993583028083027	25.662051282051284	28.605128205128207
2014	25.662051282051284	24.993583028083027	13.611538461538462	13.446666666666667	20.446410256410257	24.54481684981685	25.53192307692308	26.71282051282051
2015	25.53192307692308	24.54481684981685	11.198076923076924	10.857914529914533	18.093641025641027	25.582987301587305	27.292128205128204	28.706307692307693
2016	27.292128205128204	25.582987301587305	14.889102564102563	14.198102564102564	17.551538461538463	25.60941440781441	27.294333333333334	29.58520512820513
2017	27.294333333333334	25.60941440781441	13.55923076923077	13.680649572649571	18.61907692307692	25.09665757020757	26.00417948717949	28.580435897435898
2018	26.00417948717949	25.09665757020757	14.198576923076924	14.467405982905984	20.683871794871795	25.799504273504272	26.438820512820513	28.686076923076925
2019	26.438820512820513	25.799504273504272	14.4955	13.92209829059829	22.23474358974359	25.83478669108669	26.00226923076923	28.293820512820513
2020	26.00226923076923	25.83478669108669	18.265115384615385	18.176247863247863	21.12974358974359	26.120387179487174	27.331871794871795	28.879128205128204
