STATION,year,dens.weight.mean,SAVArea,dens.weight.mean.y1,SAVArea.y1,dens.change,SAVArea.change,dens.prop.change,SAVArea.prop.change,denscomp.max,dens.percomp,dens.percomp.y1,dens.percomp.change,SAVArea.percomp,SAVArea.percomp.y1,SAVArea.percomp.change
CB3.3C,1984,3.7671736159999996,4.43196896,NA,NA,NA,NA,NA,NA,10.546174755000001,0.35720758507381656,NA,NA,0.26390407139386823,NA,NA
CB3.3C,1985,3.0565349235,7.68448673,3.7671736159999996,4.43196896,-0.7106386924999994,3.25251777,-0.18863975089487872,0.7338764777811079,10.546174755000001,0.28982403520773065,0.35720758507381656,-0.06738354986608595,0.4575770617804943,0.26390407139386823,0.19367299038662605
CB3.3C,1986,4.5221411075,6.61205807,3.0565349235,7.68448673,1.4656061840000003,-1.07242866,0.4794992436473629,-0.13955761753264162,10.546174755000001,0.42879444088066415,0.28982403520773065,0.1389704056729335,0.39371869720082214,0.4575770617804943,-0.06385836457967216
CB3.3C,1987,1.750524779,2.28139964,4.5221411075,6.61205807,-2.7716163285000004,-4.33065843,-0.6128991251297436,-0.6549637622889177,10.546174755000001,0.1659867032044075,0.42879444088066415,-0.26280773767625665,0.13584721799868052,0.39371869720082214,-0.25787147920214165
CB3.3C,1989,0.5033995575,2.01359823,1.750524779,2.28139964,-1.2471252215000002,-0.26780141000000013,-0.7124293448804704,-0.11738469898241946,10.546174755000001,0.0477329049816224,0.1659867032044075,-0.1182537982227851,0.11990083320630628,0.13584721799868052,-0.015946384792374226
CB3.3C,1990,0,0,0.5033995575,2.01359823,-0.5033995575,-2.01359823,-1,-1,10.546174755000001,0,0.0477329049816224,-0.0477329049816224,0,0.11990083320630628,-0.11990083320630628
CB3.3C,1991,0,0,0,0,0,0,NaN,NaN,10.546174755000001,0,0,0,0,0,0
CB3.3C,1992,0,0,0,0,0,0,NaN,NaN,10.546174755000001,0,0,0,0,0,0
CB3.3C,1993,0,0,0,0,0,0,NaN,NaN,10.546174755000001,0,0,0,0,0,0
CB3.3C,1994,0,0,0,0,0,0,NaN,NaN,10.546174755000001,0,0,0,0,0,0
