usgs_no	year_nu	month_nu	discharge_cufs	site	year_surv	season
1578310	1993	3	83200	susquehanna	1993	Spring
1578310	1993	4	250100	susquehanna	1993	Spring
1578310	1993	5	46390	susquehanna	1993	Spring
1578310	1993	6	14470	susquehanna	1993	Summer
1578310	1993	7	8348	susquehanna	1993	Summer
1578310	1993	8	6926	susquehanna	1993	Summer
1578310	1993	9	9710	susquehanna	1993	Fall
1578310	1993	10	13020	susquehanna	1993	Fall
1578310	1993	11	43670	susquehanna	1994	Winter
1578310	1993	12	68880	susquehanna	1994	Winter
1578310	1994	1	19220	susquehanna	1994	Winter
1578310	1994	2	53880	susquehanna	1994	Winter
1578310	1994	3	147800	susquehanna	1994	Spring
1578310	1994	4	147800	susquehanna	1994	Spring
1578310	1994	5	37310	susquehanna	1994	Spring
1578310	1994	6	25900	susquehanna	1994	Summer
1578310	1994	7	24260	susquehanna	1994	Summer
1578310	1994	8	48580	susquehanna	1994	Summer
1578310	1994	9	19870	susquehanna	1994	Fall
1578310	1994	10	15060	susquehanna	1994	Fall
1578310	1994	11	25610	susquehanna	1995	Winter
1578310	1994	12	55640	susquehanna	1995	Winter
1578310	1995	1	62170	susquehanna	1995	Winter
1578310	1995	2	24990	susquehanna	1995	Winter
1578310	1995	3	47420	susquehanna	1995	Spring
1578310	1995	4	33850	susquehanna	1995	Spring
1578310	1995	5	23220	susquehanna	1995	Spring
1578310	1995	6	20170	susquehanna	1995	Summer
1578310	1995	7	15380	susquehanna	1995	Summer
1578310	1995	8	6175	susquehanna	1995	Summer
1578310	1995	9	3476	susquehanna	1995	Fall
1578310	1995	10	24520	susquehanna	1995	Fall
1578310	1995	11	43250	susquehanna	1996	Winter
1578310	1995	12	30390	susquehanna	1996	Winter
1578310	1996	1	122500	susquehanna	1996	Winter
1578310	1996	2	69380	susquehanna	1996	Winter
1578310	1996	3	71260	susquehanna	1996	Spring
1578310	1996	4	72120	susquehanna	1996	Spring
1578310	1996	5	79350	susquehanna	1996	Spring
1578310	1996	6	28240	susquehanna	1996	Summer
1578310	1996	7	26340	susquehanna	1996	Summer
1578310	1996	8	16350	susquehanna	1996	Summer
1578310	1996	9	39080	susquehanna	1996	Fall
1578310	1996	10	52500	susquehanna	1996	Fall
1578310	1996	11	69700	susquehanna	1997	Winter
1578310	1996	12	113700	susquehanna	1997	Winter
1578310	1997	1	33630	susquehanna	1997	Winter
1578310	1997	2	48310	susquehanna	1997	Winter
1578310	1997	3	73830	susquehanna	1997	Spring
1578310	1997	4	42070	susquehanna	1997	Spring
1578310	1997	5	31190	susquehanna	1997	Spring
1578310	1997	6	24290	susquehanna	1997	Summer
1578310	1997	7	9076	susquehanna	1997	Summer
1578310	1997	8	7862	susquehanna	1997	Summer
1578310	1997	9	8372	susquehanna	1997	Fall
1578310	1997	10	7297	susquehanna	1997	Fall
1578310	1997	11	40190	susquehanna	1998	Winter
1578310	1997	12	32020	susquehanna	1998	Winter
1578310	1998	1	92570	susquehanna	1998	Winter
1578310	1998	2	79590	susquehanna	1998	Winter
1578310	1998	3	98320	susquehanna	1998	Spring
1578310	1998	4	77510	susquehanna	1998	Spring
1578310	1998	5	68710	susquehanna	1998	Spring
1578310	1998	6	25560	susquehanna	1998	Summer
1578310	1998	7	21390	susquehanna	1998	Summer
1578310	1998	8	8167	susquehanna	1998	Summer
1578310	1998	9	5608	susquehanna	1998	Fall
1578310	1998	10	8347	susquehanna	1998	Fall
1578310	1998	11	5465	susquehanna	1999	Winter
1578310	1998	12	6733	susquehanna	1999	Winter
1578310	1999	1	46290	susquehanna	1999	Winter
1578310	1999	2	41670	susquehanna	1999	Winter
1578310	1999	3	51900	susquehanna	1999	Spring
1578310	1999	4	56390	susquehanna	1999	Spring
1578310	1999	5	19980	susquehanna	1999	Spring
1578310	1999	6	7691	susquehanna	1999	Summer
1578310	1999	7	5338	susquehanna	1999	Summer
1578310	1999	8	5304	susquehanna	1999	Summer
1578310	1999	9	20840	susquehanna	1999	Fall
1578310	1999	10	19290	susquehanna	1999	Fall
1578310	1999	11	15650	susquehanna	2000	Winter
1578310	1999	12	32840	susquehanna	2000	Winter
1578310	2000	1	23900	susquehanna	2000	Winter
1578310	2000	2	39730	susquehanna	2000	Winter
1578310	2000	3	81850	susquehanna	2000	Spring
1578310	2000	4	82040	susquehanna	2000	Spring
1578310	2000	5	49850	susquehanna	2000	Spring
1578310	2000	6	40730	susquehanna	2000	Summer
1578310	2000	7	15930	susquehanna	2000	Summer
1578310	2000	8	14490	susquehanna	2000	Summer
1578310	2000	9	11110	susquehanna	2000	Fall
1578310	2000	10	12590	susquehanna	2000	Fall
1578310	2000	11	11810	susquehanna	2001	Winter
1578310	2000	12	28780	susquehanna	2001	Winter
1578310	2001	1	15800	susquehanna	2001	Winter
1578310	2001	2	35270	susquehanna	2001	Winter
1578310	2001	3	47250	susquehanna	2001	Spring
1578310	2001	4	77470	susquehanna	2001	Spring
1578310	2001	5	18810	susquehanna	2001	Spring
1578310	2001	6	23020	susquehanna	2001	Summer
1578310	2001	7	10930	susquehanna	2001	Summer
1578310	2001	8	5694	susquehanna	2001	Summer
1578310	2001	9	7977	susquehanna	2001	Fall
1578310	2001	10	8411	susquehanna	2001	Fall
1578310	2001	11	7353	susquehanna	2002	Winter
1578310	2001	12	26560	susquehanna	2002	Winter
1578310	2002	1	15890	susquehanna	2002	Winter
1578310	2002	2	44570	susquehanna	2002	Winter
1578310	2002	3	40720	susquehanna	2002	Spring
1578310	2002	4	47160	susquehanna	2002	Spring
1578310	2002	5	81130	susquehanna	2002	Spring
1578310	2002	6	47030	susquehanna	2002	Summer
1578310	2002	7	11140	susquehanna	2002	Summer
1578310	2002	8	4803	susquehanna	2002	Summer
1578310	2002	9	5173	susquehanna	2002	Fall
1578310	2002	10	25290	susquehanna	2002	Fall
1578310	2002	11	36270	susquehanna	2003	Winter
1578310	2002	12	42600	susquehanna	2003	Winter
1578310	2003	1	45460	susquehanna	2003	Winter
1578310	2003	2	27590	susquehanna	2003	Winter
1578310	2003	3	104400	susquehanna	2003	Spring
1578310	2003	4	76380	susquehanna	2003	Spring
1578310	2003	5	45900	susquehanna	2003	Spring
1578310	2003	6	84220	susquehanna	2003	Summer
1578310	2003	7	27690	susquehanna	2003	Summer
1578310	2003	8	42580	susquehanna	2003	Summer
1578310	2003	9	54320	susquehanna	2003	Fall
1578310	2003	10	48150	susquehanna	2003	Fall
1578310	2003	11	75060	susquehanna	2004	Winter
1578310	2003	12	94730	susquehanna	2004	Winter
1578310	2004	1	56170	susquehanna	2004	Winter
1578310	2004	2	28990	susquehanna	2004	Winter
1578310	2004	3	89980	susquehanna	2004	Spring
1578310	2004	4	84570	susquehanna	2004	Spring
1578310	2004	5	67560	susquehanna	2004	Spring
1578310	2004	6	33260	susquehanna	2004	Summer
1578310	2004	7	37120	susquehanna	2004	Summer
1578310	2004	8	52830	susquehanna	2004	Summer
1578310	2004	9	129800	susquehanna	2004	Fall
1578310	2004	10	45990	susquehanna	2004	Fall
1578310	2004	11	50920	susquehanna	2005	Winter
1578310	2004	12	108100	susquehanna	2005	Winter
1578310	2005	1	107300	susquehanna	2005	Winter
1578310	2005	2	55010	susquehanna	2005	Winter
1578310	2005	3	67910	susquehanna	2005	Spring
1578310	2005	4	113500	susquehanna	2005	Spring
1578310	2005	5	22470	susquehanna	2005	Spring
1578310	2005	6	13140	susquehanna	2005	Summer
1578310	2005	7	13430	susquehanna	2005	Summer
1578310	2005	8	5912	susquehanna	2005	Summer
1578310	2005	9	6766	susquehanna	2005	Fall
1578310	2005	10	35930	susquehanna	2005	Fall
1578310	2005	11	43740	susquehanna	2006	Winter
1578310	2005	12	65220	susquehanna	2006	Winter
1578310	2006	1	91180	susquehanna	2006	Winter
1578310	2006	2	61790	susquehanna	2006	Winter
1578310	2006	3	31420	susquehanna	2006	Spring
1578310	2006	4	35170	susquehanna	2006	Spring
1578310	2006	5	29100	susquehanna	2006	Spring
1578310	2006	6	61660	susquehanna	2006	Summer
1578310	2006	7	53250	susquehanna	2006	Summer
1578310	2006	8	16100	susquehanna	2006	Summer
1578310	2006	9	36190	susquehanna	2006	Fall
1578310	2006	10	37350	susquehanna	2006	Fall
1578310	2006	11	76440	susquehanna	2007	Winter
1578310	2006	12	37360	susquehanna	2007	Winter
1578310	2007	1	66420	susquehanna	2007	Winter
1578310	2007	2	18220	susquehanna	2007	Winter
1578310	2007	3	102400	susquehanna	2007	Spring
1578310	2007	4	75510	susquehanna	2007	Spring
1578310	2007	5	34020	susquehanna	2007	Spring
1578310	2007	6	11960	susquehanna	2007	Summer
1578310	2007	7	7219	susquehanna	2007	Summer
1578310	2007	8	10200	susquehanna	2007	Summer
1578310	2007	9	5735	susquehanna	2007	Fall
1578310	2007	10	10010	susquehanna	2007	Fall
1578310	2007	11	26870	susquehanna	2008	Winter
1578310	2007	12	56490	susquehanna	2008	Winter
1578310	2008	1	50580	susquehanna	2008	Winter
1578310	2008	2	81570	susquehanna	2008	Winter
1578310	2008	3	118400	susquehanna	2008	Spring
1578310	2008	4	54620	susquehanna	2008	Spring
1578310	2008	5	48210	susquehanna	2008	Spring
1578310	2008	6	15050	susquehanna	2008	Summer
1578310	2008	7	11900	susquehanna	2008	Summer
1578310	2008	8	8655	susquehanna	2008	Summer
1578310	2008	9	8511	susquehanna	2008	Fall
1578310	2008	10	8928	susquehanna	2008	Fall
1578310	2008	11	15430	susquehanna	2009	Winter
1578310	2008	12	55520	susquehanna	2009	Winter
1578310	2009	1	33020	susquehanna	2009	Winter
1578310	2009	2	38210	susquehanna	2009	Winter
1578310	2009	3	47940	susquehanna	2009	Spring
1578310	2009	4	44130	susquehanna	2009	Spring
1578310	2009	5	37180	susquehanna	2009	Spring
1578310	2009	6	30110	susquehanna	2009	Summer
1578310	2009	7	20850	susquehanna	2009	Summer
1578310	2009	8	27960	susquehanna	2009	Summer
1578310	2009	9	14560	susquehanna	2009	Fall
1578310	2009	10	31660	susquehanna	2009	Fall
1578310	2009	11	33340	susquehanna	2010	Winter
1578310	2009	12	50030	susquehanna	2010	Winter
1578310	2010	1	61550	susquehanna	2010	Winter
1578310	2010	2	31060	susquehanna	2010	Winter
1578310	2010	3	79650	susquehanna	2010	Spring
1578310	2010	4	44300	susquehanna	2010	Spring
1578310	2010	5	32640	susquehanna	2010	Spring
1578310	2010	6	16870	susquehanna	2010	Summer
1578310	2010	7	9654	susquehanna	2010	Summer
1578310	2010	8	9084	susquehanna	2010	Summer
1578310	2010	9	7138	susquehanna	2010	Fall
1578310	2010	10	39610	susquehanna	2010	Fall
1578310	2010	11	30410	susquehanna	2011	Winter
1578310	2010	12	62540	susquehanna	2011	Winter
1578310	2011	1	13970	susquehanna	2011	Winter
1578310	2011	2	35760	susquehanna	2011	Winter
1578310	2011	3	156000	susquehanna	2011	Spring
1578310	2011	4	138600	susquehanna	2011	Spring
1578310	2011	5	103100	susquehanna	2011	Spring
1578310	2011	6	32930	susquehanna	2011	Summer
1578310	2011	7	12520	susquehanna	2011	Summer
1578310	2011	8	18410	susquehanna	2011	Summer
1578310	2011	9	144700	susquehanna	2011	Fall
1578310	2011	10	78340	susquehanna	2011	Fall
1578310	2011	11	58450	susquehanna	2012	Winter
1578310	2011	12	71630	susquehanna	2012	Winter
1578310	2012	1	57200	susquehanna	2012	Winter
1578310	2012	2	38880	susquehanna	2012	Winter
1578310	2012	3	44050	susquehanna	2012	Spring
1578310	2012	4	25230	susquehanna	2012	Spring
1578310	2012	5	52060	susquehanna	2012	Spring
1578310	2012	6	31610	susquehanna	2012	Summer
1578310	2012	7	8941	susquehanna	2012	Summer
1578310	2012	8	11050	susquehanna	2012	Summer
1578310	2012	9	12330	susquehanna	2012	Fall
1578310	2012	10	21060	susquehanna	2012	Fall
1578310	2012	11	34200	susquehanna	2013	Winter
1578310	2012	12	43440	susquehanna	2013	Winter
1578310	2013	1	43750	susquehanna	2013	Winter
1578310	2013	2	54740	susquehanna	2013	Winter
1578310	2013	3	45070	susquehanna	2013	Spring
1578310	2013	4	52330	susquehanna	2013	Spring
1578310	2013	5	30420	susquehanna	2013	Spring
1578310	2013	6	30610	susquehanna	2013	Summer
1578310	2013	7	35270	susquehanna	2013	Summer
1578310	2013	8	15480	susquehanna	2013	Summer
1578310	2013	9	12200	susquehanna	2013	Fall
1578310	2013	10	19460	susquehanna	2013	Fall
1578310	2013	11	17370	susquehanna	2014	Winter
1578310	2013	12	44910	susquehanna	2014	Winter
1578310	2014	1	45460	susquehanna	2014	Winter
1578310	2014	2	25250	susquehanna	2014	Winter
1578310	2014	3	47620	susquehanna	2014	Spring
1578310	2014	4	87180	susquehanna	2014	Spring
1578310	2014	5	72330	susquehanna	2014	Spring
1578310	2014	6	32930	susquehanna	2014	Summer
1578310	2014	7	18100	susquehanna	2014	Summer
1578310	2014	8	16810	susquehanna	2014	Summer
1578310	2014	9	9666	susquehanna	2014	Fall
1578310	2014	10	13040	susquehanna	2014	Fall
1578310	2014	11	11570	susquehanna	2015	Winter
1578310	2014	12	38280	susquehanna	2015	Winter
1578310	2015	1	25340	susquehanna	2015	Winter
1578310	2015	2	12780	susquehanna	2015	Winter
1578310	2015	3	48820	susquehanna	2015	Spring
1578310	2015	4	87260	susquehanna	2015	Spring
1578310	2015	5	24470	susquehanna	2015	Spring
1578310	2015	6	33720	susquehanna	2015	Summer
1578310	2015	7	46530	susquehanna	2015	Summer
1578310	2015	8	11520	susquehanna	2015	Summer
1578310	2015	9	7829	susquehanna	2015	Fall
1578310	2015	10	14280	susquehanna	2015	Fall
1578310	2015	11	24710	susquehanna	2016	Winter
