SUBEST_ID,Year,Density,SAVAreaHa,NDPD
ELK02,1984,2,0.00 ,
ELK02,1984,3,0.00 ,
ELK02,1984,4,0.00 ,
FSB01,1984,1,0.00 ,
FSB01,1984,2,0.00 ,
FSB01,1984,3,0.00 ,
FSB01,1984,4,0.00 ,
GUN01,1984,1,0.00 ,
GUN01,1984,2,0.00 ,
GUN01,1984,3,0.00 ,
GUN01,1984,4,0.00 ,
HNG01,1984,1,0.00 ,
HNG01,1984,2,7.38 ,
HNG01,1984,3,13.77 ,
HNG01,1984,4,0.00 ,
JMS01,1984,1,0.00 ,
JMS01,1984,2,0.00 ,
JMS01,1984,3,0.00 ,
JMS01,1984,4,0.00 ,
JMS02,1984,1,0.00 ,
JMS02,1984,2,0.00 ,
JMS02,1984,3,0.00 ,
JMS02,1984,4,0.00 ,
JMS03,1984,1,0.00 ,
JMS03,1984,2,0.00 ,
JMS03,1984,3,0.00 ,
JMS03,1984,4,0.00 ,
JMS04,1984,1,0.00 ,
JMS04,1984,2,0.00 ,
JMS04,1984,3,0.00 ,
JMS04,1984,4,0.00 ,
JMS05,1984,1,0.00 ,
JMS05,1984,2,0.00 ,
JMS05,1984,3,0.00 ,
JMS05,1984,4,0.00 ,
JMS06,1984,1,0.00 ,
JMS06,1984,2,0.00 ,
JMS06,1984,3,0.00 ,
JMS06,1984,4,0.00 ,
JMS07,1984,1,0.00 ,
JMS07,1984,2,0.00 ,
JMS07,1984,3,0.00 ,
JMS07,1984,4,0.00 ,
LCH01,1984,1,0.00 ,
LCH01,1984,2,5.70 ,
LCH01,1984,3,6.03 ,
LCH01,1984,4,2.18 ,
LYN01,1984,1,0.00 ,
LYN01,1984,2,2.88 ,
LYN01,1984,3,27.96 ,
LYN01,1984,4,4.15 ,
MAG01,1984,1,0.00 ,
MAG01,1984,2,0.00 ,
MAG01,1984,3,0.00 ,
MAG01,1984,4,0.00 ,
MAN01,1984,1,0.00 ,
MAN01,1984,2,0.00 ,
MAN01,1984,3,0.00 ,
MAN01,1984,4,0.00 ,
MID01,1984,1,0.00 ,
MID01,1984,2,0.00 ,
MID01,1984,3,0.00 ,
MID01,1984,4,0.00 ,
MNB01,1984,1,0.00 ,
MNB01,1984,2,0.00 ,
MNB01,1984,3,0.00 ,
MNB01,1984,4,0.00 ,
MOB01,1984,1,0.00 ,
MOB01,1984,2,0.00 ,
MOB01,1984,3,0.00 ,
MOB01,1984,4,0.00 ,
MOB02,1984,1,0.00 ,
MOB02,1984,2,0.00 ,
MOB02,1984,3,0.00 ,
MOB02,1984,4,0.00 ,
MOB03,1984,1,0.00 ,
MOB03,1984,2,0.00 ,
MOB03,1984,3,0.00 ,
MOB03,1984,4,0.00 ,
MOB04,1984,1,0.00 ,
MOB04,1984,2,0.00 ,
MOB04,1984,3,0.00 ,
MOB04,1984,4,0.00 ,
NAN01,1984,1,0.00 ,
NAN01,1984,2,0.00 ,
NAN01,1984,3,0.00 ,
NAN01,1984,4,0.00 ,
NAN02,1984,1,0.00 ,
NAN02,1984,2,0.00 ,
NAN02,1984,3,0.00 ,
NAN02,1984,4,0.00 ,
NAN03,1984,1,0.00 ,
NAN03,1984,2,0.00 ,
NAN03,1984,3,0.00 ,
NAN03,1984,4,0.00 ,
NAN04,1984,1,0.00 ,
NAN04,1984,2,0.00 ,
NAN04,1984,3,0.00 ,
NAN04,1984,4,0.00 ,
NAN05,1984,1,0.00 ,
NAN05,1984,2,0.00 ,
NAN05,1984,3,0.00 ,
NAN05,1984,4,0.00 ,
NOR01,1984,1,0.00 ,
NOR01,1984,2,0.00 ,
NOR01,1984,3,0.00 ,
NOR01,1984,4,0.00 ,
PAT01,1984,1,0.00 ,
PAT01,1984,2,0.00 ,
PAT01,1984,3,0.00 ,
PAT01,1984,4,0.00 ,
PAT02,1984,1,0.00 ,
PAT02,1984,2,0.00 ,
PAT02,1984,3,0.00 ,
PAT02,1984,4,0.00 ,
PAT05,1984,1,0.00 ,
PAT05,1984,2,0.00 ,
PAT05,1984,3,0.00 ,
PAT05,1984,4,0.00 ,
PAT06,1984,1,0.00 ,
PAT06,1984,2,0.00 ,
PAT06,1984,3,0.00 ,
PAT06,1984,4,0.00 ,
PAT07,1984,1,0.00 ,
PAT07,1984,2,0.00 ,
PAT07,1984,3,0.00 ,
PAT07,1984,4,0.00 ,
PAT08,1984,1,0.00 ,
PAT08,1984,2,0.00 ,
PAT08,1984,3,0.00 ,
PAT08,1984,4,0.00 ,
PAT11,1984,1,0.00 ,
PAT11,1984,2,0.00 ,
PAT11,1984,3,0.00 ,
PAT11,1984,4,0.00 ,
PAX01,1984,1,0.00 ,
PAX01,1984,2,0.00 ,
PAX01,1984,3,0.00 ,
PAX01,1984,4,0.00 ,
PAX02,1984,1,0.00 ,
PAX02,1984,2,1.44 ,
PAX02,1984,3,2.55 ,
PAX02,1984,4,0.00 ,
PAX03,1984,1,0.00 ,
PAX03,1984,2,0.00 ,
PAX03,1984,3,0.00 ,
PAX03,1984,4,0.65 ,
PAX04,1984,1,0.00 ,
PAX04,1984,2,0.00 ,
PAX04,1984,3,0.00 ,
PAX04,1984,4,0.00 ,
PIA01,1984,1,0.00 ,
PIA01,1984,2,0.00 ,
PIA01,1984,3,0.00 ,
PIA01,1984,4,0.00 ,
POC01,1984,1,0.00 ,
POC01,1984,2,0.00 ,
POC01,1984,3,0.00 ,
POC01,1984,4,0.00 ,
POC02,1984,1,0.00 ,
POC02,1984,2,0.00 ,
POC02,1984,3,0.00 ,
POC02,1984,4,0.00 ,
POC04,1984,1,0.00 ,
POC04,1984,2,22.66 ,
POC04,1984,3,48.07 ,
POC04,1984,4,24.37 ,
POT02,1984,1,0.00 ,
POT02,1984,2,0.00 ,
POT02,1984,3,0.00 ,
POT02,1984,4,0.00 ,
POT03,1984,1,0.00 ,
POT03,1984,2,0.00 ,
POT03,1984,3,0.00 ,
POT03,1984,4,0.00 ,
POT04,1984,1,0.00 ,
POT04,1984,2,0.00 ,
POT04,1984,3,0.00 ,
POT04,1984,4,0.00 ,
POT05,1984,1,0.00 ,
POT05,1984,2,0.00 ,
POT05,1984,3,3.39 ,
POT05,1984,4,0.00 ,
POT07,1984,1,0.00 ,
POT07,1984,2,0.00 ,
POT07,1984,3,0.00 ,
POT07,1984,4,0.00 ,
POT08,1984,1,0.00 ,
POT08,1984,2,0.00 ,
POT08,1984,3,0.00 ,
POT08,1984,4,0.00 ,
POT09,1984,1,0.00 ,
POT09,1984,2,0.00 ,
POT09,1984,3,0.00 ,
POT09,1984,4,0.00 ,
POT1,1984,1,0.00 ,
POT1,1984,2,0.00 ,
POT1,1984,3,0.00 ,
POT1,1984,4,0.00 ,
POT10,1984,1,0.00 ,
POT10,1984,2,0.00 ,
POT10,1984,3,0.00 ,
POT10,1984,4,0.00 ,
POT11,1984,1,0.00 ,
POT11,1984,2,0.00 ,
POT11,1984,3,0.00 ,
POT11,1984,4,0.00 ,
POT12,1984,1,0.00 ,
POT12,1984,2,0.00 ,
POT12,1984,3,0.00 ,
POT12,1984,4,0.00 ,
POT13,1984,1,0.00 ,
POT13,1984,2,0.00 ,
POT13,1984,3,0.00 ,
POT13,1984,4,0.00 ,
POT14,1984,1,0.00 ,
POT14,1984,2,0.00 ,
POT14,1984,3,0.00 ,
POT14,1984,4,0.00 ,
POT15,1984,1,0.00 ,
POT15,1984,2,0.00 ,
POT15,1984,3,0.00 ,
POT15,1984,4,0.00 ,
POT16,1984,1,0.00 ,
POT16,1984,2,0.00 ,
POT16,1984,3,0.00 ,
POT16,1984,4,0.00 ,
POT17,1984,1,0.00 ,
POT17,1984,2,0.00 ,
POT17,1984,3,0.00 ,
POT17,1984,4,0.00 ,
POT18,1984,1,0.00 ,
POT18,1984,2,0.00 ,
POT18,1984,3,0.00 ,
POT18,1984,4,0.00 ,
POT19,1984,1,0.00 ,
POT19,1984,2,0.00 ,
POT19,1984,3,0.00 ,
POT19,1984,4,0.00 ,
POT20,1984,1,0.00 ,
POT20,1984,2,0.00 ,
POT20,1984,3,0.00 ,
POT20,1984,4,0.00 ,
POT21,1984,1,0.00 ,
POT21,1984,2,0.00 ,
POT21,1984,3,0.00 ,
POT21,1984,4,0.00 ,
POT22,1984,1,0.00 ,
POT22,1984,2,0.00 ,
POT22,1984,3,0.00 ,
POT22,1984,4,0.00 ,
POT23,1984,1,0.00 ,
POT23,1984,2,0.00 ,
POT23,1984,3,0.00 ,
POT23,1984,4,0.00 ,
RHD01,1984,1,0.00 ,
RHD01,1984,2,0.00 ,
RHD01,1984,3,0.00 ,
RHD01,1984,4,0.00 ,
RPP01,1984,1,0.00 ,
RPP01,1984,2,9.04 ,
RPP01,1984,3,0.00 ,
RPP01,1984,4,0.00 ,
RPP02,1984,1,0.00 ,
RPP02,1984,2,0.00 ,
RPP02,1984,3,0.00 ,
RPP02,1984,4,0.00 ,
RPP03,1984,1,0.00 ,
RPP03,1984,2,0.00 ,
RPP03,1984,3,0.00 ,
RPP03,1984,4,0.00 ,
RPP04,1984,1,0.00 ,
RPP04,1984,2,0.00 ,
RPP04,1984,3,0.00 ,
RPP04,1984,4,0.00 ,
RPP05,1984,1,0.00 ,
RPP05,1984,2,0.00 ,
RPP05,1984,3,0.00 ,
RPP05,1984,4,0.00 ,
RPP06,1984,1,0.00 ,
RPP06,1984,2,0.00 ,
RPP06,1984,3,0.00 ,
RPP06,1984,4,0.00 ,
SAS01,1984,1,0.00 ,
SAS01,1984,2,0.00 ,
SAS01,1984,3,0.00 ,
SAS01,1984,4,0.00 ,
SEV01,1984,1,0.00 ,
SEV01,1984,2,0.00 ,
SEV01,1984,3,0.00 ,
SEV01,1984,4,0.00 ,
SOU01,1984,1,0.00 ,
SOU01,1984,2,0.00 ,
SOU01,1984,3,0.00 ,
SOU01,1984,4,0.00 ,
WIC01,1984,1,0.00 ,
WIC01,1984,2,0.00 ,
WIC01,1984,3,0.00 ,
WIC01,1984,4,0.00 ,
WST01,1984,1,0.00 ,
WST01,1984,2,0.00 ,
WST01,1984,3,0.00 ,
WST01,1984,4,0.00 ,
YRK01,1984,1,0.00 ,
YRK01,1984,2,0.00 ,
YRK01,1984,3,0.00 ,
YRK01,1984,4,0.00 ,
YRK02,1984,1,0.00 ,
YRK02,1984,2,0.00 ,
YRK02,1984,3,0.00 ,
YRK02,1984,4,0.00 ,
BAC01,1985,1,0.00 ,
BAC01,1985,2,0.00 ,
BAC01,1985,3,0.00 ,
BAC01,1985,4,0.00 ,
BIG01,1985,1,0.00 ,
BIG01,1985,2,2.93 ,
BIG01,1985,3,12.34 ,
BIG01,1985,4,12.03 ,
BSH01,1985,1,0.00 ,
BSH01,1985,2,0.00 ,
BSH01,1985,3,0.00 ,
BSH01,1985,4,0.00 ,
CB101,1985,1,0.00 ,
CB101,1985,2,0.00 ,
CB101,1985,3,0.00 ,
CB101,1985,4,0.00 ,
CB201,1985,1,0.00 ,
CB201,1985,2,0.00 ,
CB201,1985,3,0.00 ,
CB201,1985,4,0.00 ,
CB202,1985,1,0.00 ,
CB202,1985,2,0.00 ,
CB202,1985,3,0.00 ,
CB202,1985,4,0.00 ,
CB203,1985,1,0.00 ,
CB203,1985,2,0.00 ,
CB203,1985,3,0.00 ,
CB203,1985,4,0.00 ,
CB204,1985,1,0.00 ,
CB204,1985,2,0.00 ,
CB204,1985,3,0.00 ,
CB204,1985,4,0.00 ,
CB301,1985,1,0.00 ,
CB301,1985,2,0.00 ,
CB301,1985,3,0.00 ,
CB301,1985,4,0.00 ,
CB401,1985,1,0.00 ,
CB401,1985,2,39.13 ,
CB401,1985,3,10.66 ,
CB401,1985,4,7.19 ,
CB404,1985,1,0.00 ,
CB404,1985,2,0.40 ,
CB404,1985,3,11.96 ,
CB404,1985,4,6.94 ,
CB501,1985,1,2.01 ,
CB501,1985,2,0.29 ,
CB501,1985,3,0.00 ,
CB501,1985,4,0.00 ,
CB502,1985,1,0.00 ,
CB502,1985,2,0.00 ,
CB502,1985,3,0.00 ,
CB502,1985,4,0.00 ,
CB503,1985,1,0.00 ,
